GeoDe,DollarStreet,Combined and renamed,ImageNet21k classes,ImageNet21k ids,ImageNet1k classes,ImageNet1k ids,LAION?
-,"arm watches, arm watch",arm watch,wristwatch,n04607869,,,
-,"armchair, sitting area",armchair,armchair,n02738535,,,yes
backyard,"backyard, surroundings, street detail, street view",backyard,"garden, patio","n03417345, n03899768",,,yes
bag,-,bag,"bag, bag, bag","n02773037, n02773838, n02774152",,,yes
-,"bathroom privacy, bathroom/toilet",bathroom,bathroom,n02807731,,,yes
-,"bedroom, bed, bed hq, bed kids, guest bed, laying in bed - pretend to sleep",bedroom,bedroom,n02821627,,,yes
bicycle,bike,bicycle,"bicycle, bicycle-built-for-two	","n02834778, n02835271",,,
boat,boat,boat,boat,n02858304,,,
-,"books, reading a book, seeing the back of book",book,"book, book","n02870526, n07954211",,,yes
-,bowls,bowl,"bowl, bowl","n02880940, n02881193",,,yes
bus,-,bus,bus,n02924116,,,
candle,-,candle,candle,n02948072,,,yes
car,"car, car decorations",car,"car, car, car, used-car","n02958343, n02959942, n02960352, n04516354",,,
-,ceiling,ceiling,ceiling,n02990373,,,
chair,sitting area,chair,"chair, chair","n03001627, n03002096",,,yes
cleaning_equipment,"cleaning after toilet, cleaning equipment, cleaning floors, washing clothes/cleaning",cleaning equipment,broom,n02906734,"vacuum, vacuum cleaner, swab, swob, mop, broom, dishrag, dishcloth","n04517823, n04517823, n04367480, n04367480, n04367480, n02906734, n03207743, n03207743",yes
-,"clothes, coats and jackets, wardrobe",clothes,"shirt, work-shirt, dress, suit, skirt, skirt, jacket, jacket, coat, sweater","n04197391, n04602956, n03236735, n04350905, n04230808, n04231272, n03589791, n03590306, n03057021,n04370048",,,
-,computer,computer,computer,n03082979,,,
-,"cooking, cooking food",cooking,,,,,yes
cooking_pot,cooking pots,cooking pot,pot,n03990474,,,yes
-,"cooking utensils, baking tools",cooking utensils,"spatula, spatula, laddle, whisk","n04269944, n04270147, n03633091, n04578934",,,
-,"couch, sofa, sitting area",couch,"couch, couch, sofa","n03115762, n03115897, n04256520",,,
-,cups/mugs/glasses,cup,"cup, cup","n03147509, n07930864",,,
-,cutlery,cutlery,tableware,n04381994,,,yes
-,diapers (or baby-pants),diaper,"diaper, diaper","n03188531, n03188725",,,yes
-,dishwasher,dishwasher,dishwasher,n03207941,,,yes
-,drainage,drainage,"grate, grate, manhole","n03454536, n03454707, n03717447",,,yes
-,"drinking water, drinks, drinking social drink",drinking water,"water_glass, faucet","n04559910, n03325088",,,yes
fence,-,fence,fence,n03327234,,,yes
-,"fields, nature sceneries, vegetable plot, agriculture land",field,field,n08659446,,,
-,"fishing equipment, fishes",fishing equipment,"fishing, bait","n00453935, n02776205",,,yes
flag,-,flag,flag,n03354903,,,yes
-,floor,floor,"floor, floor","n03365592, n09282208",,,
front_door,"front door, opening the front door, closing the front door, lock on front door, walking towards front door",front door,,,,,yes
-,"get water, carrying water, pouring water, pouring drinking water, sources of drinking water, water sources, walking to get water",get water,tap,n04390977,"water bottle, water jug, water tower","n04557648, n04560804, n04562935",
-,glasses or lenses,glasses,,,,,yes
hairbrush_comb,brushing hair,hairbrush/comb,"hairbrush, comb, comb","n03475581, n03074855, n03075097",,,yes
-,hallway,hallway,aisle,n02694045,,,yes
-,hanging clothes to dry,hanging clothes to dry,,,,,yes
-,"hand washing, washing clothes/cleaning, washing hands, doing dishes",hand washing,washbasin,n04553703,,,
hat,-,hat,hat,n03497657,,,yes
house,"house overview, home",house,"house, house","n03544360, n03545150",,,
-,"jewelry, earings, necklaces, piercings",jewelry,"bangle, necklace, bracelet, ring, ring","n02787435, n03814906, n02887970, n04981658, n13875392",,,yes
jug,-,jug,jug,n03603722,,,yes
-,"car keys, frontdoor keys",key,key,n03613294,,,
-,kitchen,kitchen,kitchen,n03619890,,,yes
-,kitchen sink,kitchen sink,,,,,yes
-,knifes,knife,"knife, knife","n03623556, n03624134",,,
light_fixture,"light source in kitchen, light source in livingroom, light sources, lightsources by bed, source of light, reading light",light fixture,"lampshade, chandelier, lamp, lamp, sconce, sconce","n03637318, n03005285, n03636248, n03636649, n04148579, n04148703",,,yes
light_switch,"switch on/off, turning lights on and off",light switch,,,,,yes
-,living room,living room,lounge,n03691817,,,yes
-,"make up, cosmetics, putting on make up",makeup,makeup,n03714235,,,yes
medicine,medication,medicine,"capsule, syrup","n02957755, n07859583",,,
-,menstruation pads / tampax,menstruation pad,Tampax,n04387932,,,
monument,-,monument,"statue, memorial","n04306847, n03743902",,,yes
-,oven,oven,oven,n03862676,,,yes
-,parking lot,parking lot,"garage, garage","n03416489, n03416640",,,
-,pen/pencils,pen/pencil,"pencil, pencil","n03908204, n13863020","ballpoint, ballpoint pen, ballpen, Biro, fountain pen","n02783161, n02783161, n02783161, n02783161, n03388183",
dog,pet,pet,pet,n01318894,,,
-,"phone, answering the phone, picking up the phone",phone,pay-phone,n03902125,"cellular telephone, cellular phone, cellphone, cell, mobile phone, dial telephone, dial phone","n02992529, n02992529, n02992529, n02992529, n02992529, n03187595, n03187595",yes
plate_of_food,"plate of food, plates",plate,"plate, plate, plate","n03960374, n03960490, n07579787",,,
