,"Most similar countries to coresponding (topic, country) pair"
wall_China,"[('Indonesia', 0.952), ('India', 0.952), ('Philippines', 0.949), ('Brazil', 0.949), ('Nepal', 0.941), ('South Korea', 0.94), ('Vietnam', 0.938), ('Cambodia', 0.936), ('Serbia', 0.936), ('South Africa', 0.935), ('Ethiopia', 0.93), ('France', 0.927), ('Nigeria', 0.927), ('Ukraine', 0.925), ('Colombia', 0.924), ('United States', 0.924), ('Iran', 0.922), ('Tanzania', 0.921), ('Thailand', 0.916), ('Mexico', 0.916), ('Kenya', 0.914), ('Jordan', 0.913), ('Myanmar', 0.912), ('Spain', 0.91), ('Tunisia', 0.909), ('Netherlands', 0.902), ('Bangladesh', 0.897), ('Bolivia', 0.894), ('Peru', 0.881), ('Haiti', 0.878), (""Cote d'Ivoire"", 0.872), ('Pakistan', 0.872), ('Malawi', 0.837), ('Burkina Faso', 0.836), ('Cameroon', 0.827)]"
wall_Indonesia,"[('Philippines', 0.972), ('Nepal', 0.959), ('Cambodia', 0.955), ('Brazil', 0.954), ('China', 0.952), ('India', 0.948), ('Nigeria', 0.947), ('South Africa', 0.941), ('South Korea', 0.94), ('Ethiopia', 0.937), ('Myanmar', 0.937), ('Tunisia', 0.936), ('Tanzania', 0.935), ('Kenya', 0.935), ('Bolivia', 0.934), ('Jordan', 0.932), ('Vietnam', 0.931), ('Serbia', 0.931), ('Thailand', 0.925), ('Bangladesh', 0.923), ('France', 0.92), ('Ukraine', 0.92), ('Colombia', 0.917), ('United States', 0.915), (""Cote d'Ivoire"", 0.914), ('Haiti', 0.91), ('Peru', 0.91), ('Iran', 0.907), ('Mexico', 0.9), ('Spain', 0.896), ('Netherlands', 0.889), ('Malawi', 0.884), ('Pakistan', 0.87), ('Burkina Faso', 0.869), ('Cameroon', 0.85)]"
wall_India,"[('Brazil', 0.969), ('Colombia', 0.957), ('China', 0.952), ('Philippines', 0.952), ('Indonesia', 0.948), ('Iran', 0.946), ('South Korea', 0.946), ('South Africa', 0.943), ('France', 0.937), ('Vietnam', 0.937), ('Nepal', 0.937), ('Pakistan', 0.935), ('Serbia', 0.934), ('United States', 0.931), ('Tanzania', 0.93), ('Nigeria', 0.93), ('Ethiopia', 0.928), ('Kenya', 0.924), ('Jordan', 0.924), ('Tunisia', 0.922), ('Mexico', 0.922), ('Ukraine', 0.921), ('Thailand', 0.915), ('Netherlands', 0.91), ('Cambodia', 0.908), ('Spain', 0.902), ('Bolivia', 0.893), ('Peru', 0.89), ('Myanmar', 0.888), (""Cote d'Ivoire"", 0.876), ('Bangladesh', 0.876), ('Cameroon', 0.875), ('Haiti', 0.861), ('Burkina Faso', 0.828), ('Malawi', 0.823)]"
wall_Brazil,"[('India', 0.969), ('Colombia', 0.96), ('Indonesia', 0.954), ('China', 0.949), ('Philippines', 0.948), ('Iran', 0.946), ('United States', 0.946), ('South Africa', 0.942), ('Serbia', 0.941), ('France', 0.94), ('Ethiopia', 0.937), ('Mexico', 0.933), ('Vietnam', 0.931), ('South Korea', 0.929), ('Tanzania', 0.927), ('Kenya', 0.927), ('Nepal', 0.927), ('Nigeria', 0.927), ('Tunisia', 0.924), ('Ukraine', 0.923), ('Netherlands', 0.922), ('Jordan', 0.919), ('Spain', 0.915), ('Thailand', 0.914), ('Cambodia', 0.912), ('Bolivia', 0.899), ('Pakistan', 0.898), ('Peru', 0.897), ('Myanmar', 0.879), (""Cote d'Ivoire"", 0.872), ('Cameroon', 0.87), ('Haiti', 0.859), ('Bangladesh', 0.858), ('Malawi', 0.828), ('Burkina Faso', 0.823)]"
wall_United States,"[('France', 0.954), ('Brazil', 0.946), ('Serbia', 0.942), ('India', 0.931), ('Colombia', 0.927), ('Spain', 0.925), ('Mexico', 0.925), ('China', 0.924), ('Netherlands', 0.924), ('South Africa', 0.923), ('Ukraine', 0.92), ('Philippines', 0.917), ('Indonesia', 0.915), ('Iran', 0.913), ('South Korea', 0.909), ('Jordan', 0.907), ('Vietnam', 0.906), ('Tunisia', 0.9), ('Nepal', 0.899), ('Nigeria', 0.899), ('Ethiopia', 0.896), ('Kenya', 0.893), ('Cambodia', 0.892), ('Tanzania', 0.885), ('Thailand', 0.872), ('Bolivia', 0.87), ('Myanmar', 0.855), ('Haiti', 0.849), (""Cote d'Ivoire"", 0.845), ('Bangladesh', 0.84), ('Peru', 0.836), ('Pakistan', 0.834), ('Malawi', 0.82), ('Burkina Faso', 0.815), ('Cameroon', 0.784)]"
wall_Philippines,"[('Indonesia', 0.972), ('Cambodia', 0.96), ('Nepal', 0.956), ('South Korea', 0.954), ('India', 0.952), ('South Africa', 0.95), ('China', 0.949), ('Brazil', 0.948), ('Vietnam', 0.941), ('Myanmar', 0.938), ('Thailand', 0.938), ('Nigeria', 0.935), ('Serbia', 0.933), ('Jordan', 0.933), ('Tunisia', 0.929), ('Ethiopia', 0.929), ('Kenya', 0.929), ('Bolivia', 0.927), ('Tanzania', 0.923), ('Ukraine', 0.921), (""Cote d'Ivoire"", 0.92), ('Bangladesh', 0.92), ('France', 0.919), ('United States', 0.917), ('Colombia', 0.91), ('Haiti', 0.909), ('Mexico', 0.908), ('Peru', 0.901), ('Iran', 0.897), ('Spain', 0.88), ('Netherlands', 0.87), ('Pakistan', 0.865), ('Burkina Faso', 0.86), ('Malawi', 0.858), ('Cameroon', 0.842)]"
wall_France,"[('Serbia', 0.958), ('United States', 0.954), ('Spain', 0.941), ('Brazil', 0.94), ('Ukraine', 0.938), ('India', 0.937), ('Jordan', 0.935), ('Tunisia', 0.932), ('Netherlands', 0.929), ('China', 0.927), ('Vietnam', 0.926), ('Mexico', 0.926), ('Indonesia', 0.92), ('South Korea', 0.92), ('Nepal', 0.92), ('Philippines', 0.919), ('South Africa', 0.917), ('Colombia', 0.912), ('Iran', 0.91), ('Nigeria', 0.908), ('Cambodia', 0.905), ('Tanzania', 0.896), ('Ethiopia', 0.893), ('Kenya', 0.893), ('Bolivia', 0.891), ('Haiti', 0.869), (""Cote d'Ivoire"", 0.864), ('Myanmar', 0.862), ('Thailand', 0.861), ('Malawi', 0.851), ('Bangladesh', 0.851), ('Burkina Faso', 0.845), ('Pakistan', 0.829), ('Peru', 0.823), ('Cameroon', 0.773)]"
wall_Kenya,"[('Nigeria', 0.952), ('Tanzania', 0.951), ('Indonesia', 0.935), ('Nepal', 0.935), ('Philippines', 0.929), ('Brazil', 0.927), ('South Africa', 0.925), ('India', 0.924), ('Peru', 0.922), ('Tunisia', 0.921), ('Cambodia', 0.915), ('China', 0.914), (""Cote d'Ivoire"", 0.914), ('Ethiopia', 0.912), ('Vietnam', 0.91), ('Haiti', 0.908), ('South Korea', 0.904), ('Jordan', 0.903), ('Bolivia', 0.901), ('Serbia', 0.896), ('Ukraine', 0.895), ('France', 0.893), ('United States', 0.893), ('Myanmar', 0.889), ('Colombia', 0.884), ('Cameroon', 0.882), ('Thailand', 0.881), ('Bangladesh', 0.878), ('Malawi', 0.872), ('Burkina Faso', 0.871), ('Iran', 0.871), ('Mexico', 0.87), ('Spain', 0.854), ('Netherlands', 0.854), ('Pakistan', 0.852)]"
wall_Cambodia,"[('Philippines', 0.96), ('Nepal', 0.957), ('Indonesia', 0.955), ('Myanmar', 0.954), ('Bangladesh', 0.943), ('Nigeria', 0.938), ('China', 0.936), ('Haiti', 0.935), ('Vietnam', 0.93), ('Bolivia', 0.928), ('South Africa', 0.922), ('South Korea', 0.922), ('Jordan', 0.921), ('Tanzania', 0.919), (""Cote d'Ivoire"", 0.919), ('Tunisia', 0.916), ('Kenya', 0.915), ('Ethiopia', 0.914), ('Brazil', 0.912), ('Serbia', 0.911), ('India', 0.908), ('France', 0.905), ('Thailand', 0.904), ('Ukraine', 0.903), ('United States', 0.892), ('Peru', 0.883), ('Malawi', 0.875), ('Burkina Faso', 0.871), ('Spain', 0.87), ('Colombia', 0.869), ('Mexico', 0.866), ('Iran', 0.857), ('Netherlands', 0.852), ('Pakistan', 0.81), ('Cameroon', 0.805)]"
wall_Bangladesh,"[('Myanmar', 0.954), ('Cambodia', 0.943), ('Haiti', 0.931), ('Indonesia', 0.923), ('Nepal', 0.923), ('Philippines', 0.92), ('Nigeria', 0.91), (""Cote d'Ivoire"", 0.909), ('China', 0.897), ('South Africa', 0.894), ('South Korea', 0.886), ('Bolivia', 0.885), ('Vietnam', 0.881), ('Kenya', 0.878), ('Tanzania', 0.877), ('India', 0.876), ('Tunisia', 0.873), ('Jordan', 0.873), ('Ethiopia', 0.87), ('Peru', 0.865), ('Thailand', 0.863), ('Burkina Faso', 0.859), ('Brazil', 0.858), ('Ukraine', 0.856), ('Malawi', 0.854), ('Serbia', 0.853), ('France', 0.851), ('United States', 0.84), ('Colombia', 0.826), ('Spain', 0.823), ('Mexico', 0.812), ('Iran', 0.806), ('Netherlands', 0.8), ('Pakistan', 0.788), ('Cameroon', 0.784)]"
